Id,Sentence,Explain,Created at,Updated at
1917,"
人情似纸张张薄，世事如棋局局新。

贫居闹市无人问，富在深山有远亲。
不信但看宴中酒，杯杯先敬富贵人。
门前拴上高头马，不是亲来也是亲。
门前放根讨饭棍，亲戚故友不上门。
世人结交需黄金，黄金不多交不深，纵令然诺暂相许，终是悠悠路行心。
有钱有酒多兄弟，急难何曾见一人。
酒肉朋友朝朝有，无钱无势亲不亲。
相逢好比初相识，到老终无怨恨心。
胜者为王败者寇，只重衣冠不重人。
三贫三富不到老，十年兴败多少人。
在官三日人问我，离官三日我问人。
古人不见今时月，今月曾经照古人。
近水楼台先得月，向阳花木易为春。
谁人背后无人说，那个人前不说人。
百炼化身成铁汉，三缄其口学金人。
十分伶俐使七分，常留三分与儿孙。
如若十分都使尽，远在儿孙近在身。
长江后浪推前浪，世上新人赶旧人。
君子乐得做君子，小人枉自做小人。
山中自有千年树，世上难逢百岁人。
岂无远道思亲泪，不及高堂念子心。
堂上二老是活佛，何用灵山朝世尊。
平生不作皱眉事，世上应无切齿人。
越奸越狡越贫穷，奸狡原来天不容。
富贵若从奸狡起，世间呆汉喝西风。
求人须求大丈夫，济人须济急时无。
茫茫四海人无数，那个男儿是丈夫。
人情似水分高下，世事如云任卷舒。
入山不怕伤人虎，只怕人情两面刀。
无求到处人情好，不饮随它酒价高。
知事少时烦恼少，识人多处是非多。
秋至满山皆秀色，春来无处不花香。
贫无达士将金赠，病有高人说药方。
美人卖笑千金易，壮士穷途一饭难。
少时总觉为人易，华年方知立业难。
用心计较般般错，退步思量事事难。
世上闲愁千万斛，不教一点上眉端。
毁身每是作恶日，成名皆在行善时。
莫把真心空计较，唯有大德享万年。
谗言败坏真君子，美色消磨狂少年。
神仙难断阴骘命，皇天不昧苦心人。
人恶人怕天不怕，人善人欺天不欺。
善恶到头终有报，只争来早与来迟。
平生不做亏心事，半夜敲门心不惊。
万事劝人休瞒昧，举头三尺有神明。
鬼神可敬不可谄，怨家宜解不宜结。
人生何处不相逢，莫因小怨动声色。
好义固为人所钦，贪利乃为鬼所笑。
贤者不炫己之长，君子不夺人所好。
善业可为须着力，是非闲杂莫劳心。
良田不由心田置，产业变为冤业折。
千年田地八百主，田是主人人是客。
阴地不如心地好，命运在人不在天。
有理问得君王倒，有钱难买子孙贤。
不求金玉重重贵，但愿儿孙个个贤。
枯木逢春犹再岁，人无两度再少年。
水暖水寒鱼自知，花开花谢春不管。
蜗牛角上校雌雄，石火光中争长短。
留心学到古人难，立脚怕随流欲转。
少而寡欲颜常好，老不求官梦也闲。
妙药难医冤孽病，横财不富命穷人。
多情自古空遗恨，好梦由来最易醒。
命中只有八合米，走尽天下难满升。
知恩报恩天下少，反面无情世间多。
荣宠旁边辱等待，贫贱背后福跟随。
各人生死各人了，管人闲事受人磨。
易涨易退山溪水，易反易覆小人心。
红粉佳人休说老，风流浪子莫叫贫。
龙游浅水遭虾戏，虎落平阳被犬欺。
得食猫儿强似虎，褪毛鸾凤不如鸡。
为人莫作千年计，三十河东四十西。
当路莫栽荆棘树，它年免挂子孙衣。
天上众星皆拱北，世间无水不朝东。
笋因落箨方成竹，鱼为奔波始化龙。
屋漏偏遭连夜雨，船慢又遇顶头风。
记得少年骑竹马，看看又是白头翁。
美人绝色原妖物，乱世多财是祸根。
畜牲易度人难度，宁度畜牲不度人。
天作棋盘星作子，水有源头木有根。
昨日花开今日谢，百年人有万年心。
北邙荒冢无贫富，玉垒浮云变古今。
世事茫茫难自料，清风明月冷看人。
守口不谈新旧事，知心难得两三人。
欲知世情须尝胆，会尽人情暗点头。
是非只为多开口，烦恼皆因强出头。
人生七十古来稀，问君还有几春秋。
莺花犹怕春光老，岂可教人枉度春。
一年之计在于春，一日之计在于晨。
一家之计在于和，一生之计在于勤。
一朝天子一朝臣，一辈新鲜一辈陈。
一苗露水一苗草，一层山水一层人。
闷坐书馆闲操心，看来全是论古今。
书中有真就有假，世人认假不认真。
假作真时真亦假，真作假时假也真。
真真假假难分解，假者自假真自真。
回忆世情般般假，借假修真破迷津。
由来富贵三更梦，何必楚楚苦用心。
识透人情惊破胆，看穿世间心胆寒。
白璧易埋千古恨，黄金难买一身闲。
人生究竟归何处，看破放下随万缘。
佛法浩瀚广无边，度尽人间苦和难。
开启自性真智慧，笑游清秀山水间。",,2021-08-07 09:05:48 UTC,2021-08-07 09:05:48 UTC
1916,听君一席话，多打十年工,,2021-08-02 06:47:11 UTC,2021-08-02 06:47:11 UTC
1915,别人恐惧我贪婪 别人小亏我破产,,2021-08-02 06:46:42 UTC,2021-08-02 06:46:42 UTC
1914,刚才路上看见了小学同学正在捡矿泉水瓶子，心里很不是滋味，想不到昔日的玩伴，如今竟然成了竞争对手。,,2021-07-13 10:51:21 UTC,2021-07-13 10:51:21 UTC
1913,"你凭什么喜欢她？
就凭你眼光好吗？",,2021-06-08 15:01:38 UTC,2021-06-08 15:01:38 UTC
1912,世界上最廉价的就是男人一无所有的温柔。,,2021-05-20 02:10:50 UTC,2021-05-20 02:10:50 UTC
1911,"我不想上班，班也不想被我上。
我俩被硬凑在一起，只不过是资本的联姻。",,2021-05-06 14:50:05 UTC,2021-05-06 14:50:05 UTC
1909,始于颜值，陷于才华，忠于人品，痴于肉体，迷于声音，最后折扣于物质，败于现实，最后归于尘土,,2021-04-18 02:39:39 UTC,2021-04-18 02:39:39 UTC
1908,"昨天去看牙医，牙医问我20岁牙齿怎么磨损这么严重？
我说你懂什么，收废品这些年，我都是咬咬牙过来的。😭",,2021-04-15 03:19:49 UTC,2021-04-15 03:19:49 UTC
1907,"女人因为喜欢才会示弱，
男人因为喜欢才会逞强。",,2021-04-05 03:54:56 UTC,2021-04-05 03:54:56 UTC
1906,人生就像打电话，不是你先挂就是我先挂。,,2021-03-22 02:19:23 UTC,2021-03-22 02:19:23 UTC
1905,"鲁迅的《无声的中国》：
中国人的性情是总喜欢调和，折中的。
譬如你说，这屋子太暗，须在这里开一个窗，大家一定不允许的。
但如果你主张拆掉屋顶，他们就会来调和，愿意开窗了。",,2021-03-11 09:48:47 UTC,2021-03-11 09:48:47 UTC
1904,"娶了我
忘了她
今年让你当爸爸",,2021-02-26 03:14:13 UTC,2021-02-26 03:14:13 UTC
1903,"骗我感情可以，骗我钱就去死。
我这一辈子可以爱很多人，但我能挣几个钱？",,2021-02-06 17:40:19 UTC,2021-02-06 17:40:19 UTC
1902,"水果甘蔗
像男人一样，
先甜.....后渣,
甜得像初恋。",,2021-02-01 10:07:43 UTC,2021-02-01 10:07:43 UTC
1901,"古诗

我把刚写的一首诗
放在太阳底下晒
想把它晒黄
像一首古诗
假装已经流行了几千年",,2021-02-01 10:06:22 UTC,2021-02-01 10:06:22 UTC
1900,"孤独

我站在人群中
孤独得
就像P上去的",,2021-02-01 10:05:24 UTC,2021-02-01 10:05:24 UTC
1899,"我发现
老鼠偷东西
只是人类的说法
在老鼠那里
这叫觅食",,2021-02-01 10:04:57 UTC,2021-02-01 10:04:57 UTC
1898,"钱都在有钱人的手里，
爱都在不缺爱的人身上。",,2021-01-18 09:42:45 UTC,2021-01-18 09:42:45 UTC
1897,"你再努力一下，
老板就能过上想要的生活了。",,2020-12-14 02:51:22 UTC,2020-12-14 02:51:22 UTC
1896,"医生说我低血糖，
需要几句甜蜜的话",,2020-11-21 04:03:02 UTC,2020-11-21 04:03:02 UTC
1895,"为什么美国富强？
因为你晚上睡觉时
美国人正在努力工作",,2020-11-11 15:32:37 UTC,2020-11-11 15:32:37 UTC
1894,"钱没了，可以再赚。良心没了...

可以赚更多!",,2020-10-29 05:24:18 UTC,2020-10-29 05:24:18 UTC
1893,爱我的人不需解释，不爱的人何必解释,,2020-09-30 17:03:50 UTC,2020-09-30 17:03:50 UTC
1892,你过来呀！,,2020-09-30 14:34:06 UTC,2020-09-30 14:34:06 UTC
1891,我自己的命运我自己掌握，我偏要逆天改命!,,2020-09-30 14:33:22 UTC,2020-09-30 14:33:22 UTC
1890,很多人被命运安排，而我，安排命运,,2020-09-30 14:32:44 UTC,2020-09-30 14:32:44 UTC
1889,我命由我不由天,,2020-09-30 14:32:09 UTC,2020-09-30 14:32:09 UTC
1888,感情世界里最没用的四种东西: 分手后的悔恨，不爱后的关怀，高高在上的自尊心，低情商的善良。,,2020-09-28 11:25:39 UTC,2020-09-28 11:25:39 UTC
1887,愿上帝赐予我力量，去改变我所能改变的；赐予我勇气，去接受我不能改变的；并赐予我智慧，去分辨这两者。,,2020-08-29 15:45:56 UTC,2020-08-29 15:45:56 UTC
1886,人穷家丑，一米四九，小学文化，农村户口，破屋三间，病猪一头，一年四季，药不离口，今广征女友，不知愿否.,,2020-08-13 03:39:24 UTC,2020-08-13 03:39:24 UTC
1885,以后只要是我的朋友，谁没钱了尽管和我说一声，我就给你讲讲，没钱的日子我是怎么度过的。,,2020-08-04 10:55:43 UTC,2020-08-04 10:55:43 UTC
1884,"啊bai，再过五十年，我们来相会。
送到火葬场，全部烧成灰。
你一堆，我一堆，谁也不认识谁，全部送到农村做化肥。
啊，亲爱的朋友们，到底谁先烧成灰。
先烧你，先烧我，反正都是人类的骨头灰。",,2020-08-01 17:02:50 UTC,2020-08-01 17:02:50 UTC
1883,"今年是第一次因为疫情而没有去巴厘岛度假,
往年是因为没钱。",,2020-07-23 17:38:23 UTC,2020-07-23 17:38:23 UTC
1882,"三十岁死掉，大家会说哇好年轻哦！
三十岁或者，大家会说你已经不年轻了。",,2020-07-23 06:53:40 UTC,2020-07-23 06:53:40 UTC
1881,"Q: 撇开长相身材这些外表的东西，你内心深处喜欢什么样的女孩？
A：对不起，我撇不开！",,2020-07-22 13:02:29 UTC,2020-07-22 13:02:29 UTC
1880,"作为龙华里最帅的男人，我来谈谈我的帅。我的帅，好比冬日里透过落地窗的那缕和煦的阳光，温馨而含蓄，美好却不煽情，让人遐想无限。美国时代周刊对我的帅做过这样的比喻：“仿似米开朗基罗倾尽所能精雕出的一尊完美无瑕的美男像”。其实我本人并不太赞成这个比喻，首先，这句话把我的帅描述得太表面、肤浅，并没有参透出我更深层次的内涵。其次，不应该用“米开朗基罗倾尽所能精雕出”，而是应该用“米开朗基罗倾尽所能也雕不出”这样更为客观的形容语句，否则很难让人信服。
帅也给我的生活带来困扰。我依稀记得，那年夏天，组里5万女生联名举荐我当管理，一部分女生甚至采取绝食、裸奔等过激的行为，最后我不得不站出来表达自己只想做一个平凡人的愿望，才让事情平息。但这直接造成了其他男管理和大小男同事对我的嫉妒和仇视，以至于我的等级一直上不去，所以  我选择辞退  告辞[社会社会]",,2020-06-23 09:20:48 UTC,2020-06-23 09:20:48 UTC
1879,"努力不一定成功，
但是，不努力，
一定很轻松！",,2020-06-22 14:24:45 UTC,2020-06-22 14:24:45 UTC
1878,爱是一道光，绿到我发光！,,2020-06-22 09:20:42 UTC,2020-06-22 09:20:42 UTC
1877,"以前，总是以为自己丑，矮，衰，穷.
而现在，慢慢的都朝着好的方向发展了:
好丑，好矮，好衰，好穷！",,2020-06-16 07:27:51 UTC,2020-06-16 07:27:51 UTC
1876,"你若不想做，总能找到借口
你若想做，总会找到方法
——阿拉伯谚语",,2020-06-10 16:34:17 UTC,2020-06-10 16:34:17 UTC
1875,小时候抓周抓了个方向盘，爸妈都以为我长大了会当赛车手，最差也是个司机，没想到我长大当了你的备胎。,,2020-06-09 04:55:15 UTC,2020-06-09 04:55:15 UTC
1874,小时候最讨厌美女了，现在长大了却成为了小时候最讨厌的人,,2020-06-09 04:54:26 UTC,2020-06-09 04:54:26 UTC
1873,真羡慕你的皮肤，保养得真厚,,2020-06-09 04:53:38 UTC,2020-06-09 04:53:38 UTC
1872,昨天没睡好，被子太轻了，压不住我想你的心。,,2020-06-09 04:53:13 UTC,2020-06-09 04:53:13 UTC
1871,喜欢是藏不住的，即使躲在衣柜里，还是会被她老公发现。,,2020-06-09 04:52:59 UTC,2020-06-09 04:52:59 UTC
1870,从最开始的4000起家到现在的几百万我不是想炫耀什么 我只是想告诉大家欢乐斗地主这个东西主要还是看运气,,2020-06-09 04:51:51 UTC,2020-06-09 04:51:51 UTC
1869,"脑袋好疼,是不是知识太渊博要溢出来了。",,2020-06-09 04:50:02 UTC,2020-06-09 04:50:02 UTC
1868,不笑运气差 一笑脸就大,,2020-06-09 04:49:43 UTC,2020-06-09 04:49:43 UTC
1867,好不容易习惯了自己的长相，理个发又换了一种丑法,,2020-06-09 04:49:23 UTC,2020-06-09 04:49:23 UTC
1866,你家的路灯问我要不要上楼坐坐,,2020-06-09 04:49:04 UTC,2020-06-09 04:49:04 UTC
1865,我是小王，现在你认我做爹，你就是小王子,,2020-06-09 04:48:41 UTC,2020-06-09 04:48:41 UTC
1864,如果你去抢银行，无论是成功还是失败，未来十年内你都不用上班。,,2020-06-09 04:48:17 UTC,2020-06-09 04:48:17 UTC
1863,吾日三省吾身:高否？富否？帅否？,,2020-06-09 04:47:44 UTC,2020-06-09 04:47:44 UTC
1862,遇到任何困难，都不能低头，因为我有双下巴,,2020-06-09 04:47:24 UTC,2020-06-09 04:47:24 UTC
1861,我交朋友，从不在乎他有没有钱，反正都没有我穷。,,2020-06-08 14:09:16 UTC,2020-06-08 14:09:16 UTC
1860,据说到2025年，要消灭贫困人口，我还不想死。,,2020-06-08 14:08:49 UTC,2020-06-08 14:08:49 UTC
1859,富人的丁克叫丁克，穷人的丁克叫断子绝孙。,,2020-06-08 14:08:06 UTC,2020-06-08 14:08:06 UTC
1858,找对象还是眼光高点好，你总得为，没有人喜欢你找个借口吧。,,2020-06-08 14:07:31 UTC,2020-06-08 14:07:31 UTC
1857,要不是打不过你，我早就和你翻脸了。,,2020-06-08 14:05:05 UTC,2020-06-08 14:05:05 UTC
1856,你的话，我连标点符号都不信。,,2020-06-08 14:04:15 UTC,2020-06-08 14:04:15 UTC
1855,"弱小的人才习惯于嘲讽和否定，
内心强大的人从不吝啬赞美和鼓励。",,2020-05-09 18:04:01 UTC,2020-05-09 18:04:01 UTC
1854,"解放思想，必须现有思想。
没有思想，解放的都是欲望。",,2020-05-02 02:09:29 UTC,2020-05-02 02:09:29 UTC
1853,"渣男语录：
1、你要这么想，我也没办法。/你说什么就是什

2、我妈不同意我们在一起。

3、我和她只是朋友。/她只是我的妹妹/同事/红颜知己，你别多想。

4、我很忙，没时间回消息/打电话。

5、对不起，你是个好女孩，是我配不上你。
6、你就不能理解我一下吗?

7、我怎么不爱你了? /不在乎你了? /对你不好了?

8、就当我们没认识过吧!

9、你这个人很好，但是我们不合适。/你什么都好，是我配不上你。

10、你不就是嫌弃我没钱。

11、很早我就知道我们是没有未来的。

12、 没有原因，就是忽然不爱了/忽然没感觉了

13、你不要误会，我跟她没感情的。|我跟她也就只是睡过而已。

14、哪个男人不是这样的?

15、 你要是能温柔体贴- -点， 我也不至于劈腿。

16、其实我早对你没感觉了，害怕伤害你所以一直没说。

17、她只是找我聊天，没有别的。

18、我下次不会这样了，原谅我吧。

19、 我太忙了，你自己找点事做吧。

20、是她主动勾引我的，我对她- -点感觉都没有。

21、你怎么了?是我错了行了吧?

22、别闹了，你以前不是这样的。

23、我跟朋友约好了，没办法陪你。

24、你没有我也可以，但她没有我不行。

25、戴套不舒服，这次就不戴了吧。

26、我跟别人聊骚是不对，但你看我的手机更不对!我就不能有自己的隐私了?

27、我都已经道歉了，你还要怎么样?

28、分手吧，我是为了你好，你可以找到更好

29、你不要想改变我，我不可能为你改变的。",,2020-05-01 01:37:19 UTC,2020-05-01 01:37:19 UTC
1852,"万丈红尘三杯酒,
千秋大业一壶茶.",,2020-04-28 06:27:12 UTC,2020-04-28 06:27:42 UTC
1851,我是你的宝藏女孩,,2020-04-25 05:16:06 UTC,2020-04-25 05:16:06 UTC
1850,"人们平白消失，又无故再现；
人们各奔东西，直至失去对方。",,2020-04-16 02:50:53 UTC,2020-04-16 02:50:53 UTC
1849,这个时代配不上你。,,2020-04-16 02:46:51 UTC,2020-04-16 02:46:51 UTC
1848,"那时，年轻的老罗经常大晚上不睡觉瞎晃悠：

走来走去，为中国的命运苦苦思索。",,2020-04-16 02:46:11 UTC,2020-04-16 02:46:11 UTC
1847,长江里打个蛋，全国人民都喝上了蛋花汤。,,2020-04-11 02:32:05 UTC,2020-04-11 02:32:05 UTC
1846,"每个人出生的时候都是原创
可悲的是很多人渐渐都成了盗版",,2020-04-08 05:45:40 UTC,2020-04-08 05:45:40 UTC
1845,"唯一对我说过""别走好吗？""的人

是我的体育老师：""别走好吗？跑起来！快快快！""",,2020-04-05 12:17:18 UTC,2020-04-05 12:17:18 UTC
1844,喜欢熬夜的年轻人不用担心了，可以用草果，白芷、积壳、桂皮、肉蔻、砂仁、甘草各十五克磨成粉，冲水每日口服，这样的话猝死后火化了比较香。,,2019-12-10 08:02:04 UTC,2019-12-10 08:02:04 UTC
1843,"现在生意不好做，赚钱太难，日子不好过。为此脑壳痛。
昨日，一个好久不见的哥们來哒，酒后聊起了工程。
   他说：哥们，我手头有几个工程，有大有小，介绍给你做，弄俩钱花，你是接大的还是小的。
   我说：当然来大的，小的P用。
    他说：大的共有3个，一是给喜马拉雅山安装个电梯，二是给太平洋做个护栏，三是给大西洋装个顶棚，你接哪个？
  我说：太他妈大了，整不了！来个小的吧。
  他说：那好，一是给苍蝇做个口罩，二是给蚊子做个胸罩，三是给跳蚤做双手套，你选哪个？
     他奶奶个熊，我晕倒！大事做不了，小事又不会，
赚钱不易，生活还要继续，记得给自己减压。祝生活愉快！[偷笑][憨笑][偷笑][憨笑]",,2019-11-20 00:40:55 UTC,2019-11-20 00:40:55 UTC
1842,"昨晚和几个大老板一桌吃饭，我问他们：你们这么有钱，你们的理想和生活目标是什么？
他们说：等再奋斗几年，就去农村，买个农家院，养点鸡鸭鹅狗猪，种点花草，春天挖野菜，夏天钓钓鱼，秋天扒包米，冬天扫扫雪，没事的时候约几个朋友斗斗地主，喝点小酒，吹吹牛皮！农村生活多美好啊！
吃完饭我回家琢磨半天，妈的，土豪的理想就是我现在的生活，我还奋斗个屁啊！上床睡觉！
",,2019-10-13 00:34:55 UTC,2019-10-13 00:34:55 UTC
1841,"小时候骑个小破自行车，吃咸菜，白萝卜，就看别人骑摩托车逍遥自在，等我后来买了摩托车又看着有钱人开着小汽车，吃着肉，喝着酒，抽着烟，住大城市、羡慕死了！等到长大了拼命挣钱，终于开上车，吃上了肉，喝上了酒，回头一看…有钱人又骑着自行车，
吃着小时候家里喂猪的野菜，不吸烟了，也不喝酒了，还住山里，奶奶的，你们到底想干什么？能不能提前通知我一声，我好在原地等你，这给我累的！还得往回赶！
",,2019-10-13 00:34:12 UTC,2019-10-13 00:34:12 UTC
1840,"一哥们特抠门，家里什么东西都舍不得扔。
一天我去他家，他正在洗冷水澡。
我说：“哥，你咋了？这么冷的天，家里又不是没暖气，你怎么洗冷水澡啊？
他说了句让我终生难忘的话：“家里还剩两包感冒药，再不吃就过期了”！
😄😄😄😄😄😄😄
",,2019-10-13 00:33:44 UTC,2020-03-22 13:20:07 UTC
1839,"夜里老婆听到老公在哭，忙把老公叫醒，问咋了？
老公说，梦见自己又结婚。
老婆说，那不是挺好的么？你不是早就想再找一个吗，哭啥呀，该高兴才是？
老公说，入洞房时一揭盖头，原来还是你！
老婆：滚！
😂😂😂
",,2019-10-13 00:33:25 UTC,2020-03-22 13:44:17 UTC
1838,"昨天找了一大夫，把脉后，建议我多运动，不要买饮料，多喝白开水，多坐公交或步行，不要在外面吃饭，尽量吃素，少吃肉类和海鲜！
我点了点头问他：我是啥毛病啊？
老中医说：“收入太低，压力太大，不适合高消费，一花钱就上火！”
……真神医啊！
😂😂😂
",,2019-10-13 00:33:02 UTC,2020-03-22 13:44:50 UTC
